,Participant,Condition,Music,mQoM,aware_body,aware_movement,aware_others_moving,Motion_seen,Motion_seen_Max
5,ADQ006,Hall,Bach,0.1032136012738838,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.08881341861894192,0.1020263796654502
6,ADQ007,Hall,Bach,0.07280524436495708,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.13159041871193156,0.25070395118844313
7,ADQ008,Hall,Bach,0.07511660701680728,Rarely,Yes and I moved less than usual,Yes and they moved a normal amount,0.08944039462296202,0.11143894619072418
8,ADQ009,Hall,Bach,0.06381427794030356,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.08247059381281677,0.10042837752344742
9,ADQ010,Hall,Bach,0.10379163973622857,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.09196226273784226,0.09590918295857281
10,ADQ011,Hall,Bach,0.08849092837067002,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07231837771978598,0.09109689981946406
11,ADQ012,Hall,Bach,0.08670563651327867,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.09739284775481805,0.13522696704083245
12,ADQ013,Hall,Bach,0.055330807077604516,Rarely,Not aware of movement,Not aware of others' movement,0.08862411278316759,0.14113807810660545
13,ADQ014,Hall,Bach,0.09942480631149365,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09673250391165455,0.17127886515480642
14,ADQ015,Hall,Bach,0.09109689981946406,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.08010639445037732,0.14113807810660545
15,ADQ016,Hall,Bach,0.22769270897791405,Not at all,Not aware of movement,Not aware of others' movement,0.0608559037036707,0.08047490519938155
16,ADQ017,Hall,Bach,0.06980421999061194,Rarely,Not aware of movement,Not aware of others' movement,0.11096630177705556,0.13522696704083245
17,ADQ018,Hall,Bach,0.09385109013760577,Continuously,Yes and I moved a normal amount,Yes and they moved a normal amount,0.09495907742678839,0.10379163973622857
18,ADQ019,Hall,Bach,0.0968594624744415,Rarely,Not aware of movement,Not aware of others' movement,0.07450789692501657,0.10042837752344742
19,ADQ020,Hall,Bach,0.17394445219861146,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
20,ADQ021,Hall,Bach,,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.08854826867040955,0.1032136012738838
21,ADQ022,Hall,Bach,0.08260445236267329,Not at all,Not aware of movement,Not aware of others' movement,0.06761257097883983,0.08849092837067002
22,ADQ023,Hall,Bach,0.1020263796654502,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.10419413465576398,0.14914906115779664
23,ADQ024,Hall,Bach,0.10930838400715316,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.05634408497743503,0.05634408497743503
24,ADQ025,Hall,Bach,0.14113807810660545,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07338062921912697,0.09109689981946406
25,ADQ026,Hall,Bach,0.06539257796247347,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.056981277391104326,0.07175082721983589
26,ADQ027,Hall,Bach,0.06883794510999698,Continuously,Yes and I moved a normal amount,Yes and they moved a normal amount,0.12204605820998518,0.25070395118844313
27,ADQ028,Hall,Bach,0.07415703094570679,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07825686486944236,0.07825686486944236
28,ADQ029,Hall,Bach,0.08528482281770652,Not at all,Not aware of movement,Not aware of others' movement,0.055330807077604516,0.055330807077604516
29,ADQ030,Hall,Bach,0.09634395019874921,Not at all,Not aware of movement,Not aware of others' movement,0.05832138991327099,0.06679990659737893
30,ADQ031,Hall,Bach,0.07272390464248119,Not at all,Not aware of movement,Not aware of others' movement,0.11812968069904355,0.14914906115779664
31,ADQ032,Hall,Bach,,Not at all,Not aware of movement,Not aware of others' movement,0.07688876454132626,0.08528482281770652
32,ADQ033,Hall,Bach,0.06495943834397831,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.07856381860071693,0.09293118379175154
33,ADQ034,Hall,Bach,0.07825686486944236,Not at all,Yes and I moved a normal amount,Not aware of others' movement,0.09020863870997226,0.14113807810660545
34,ADQ035,Hall,Bach,0.08725841204992967,Rarely,Yes and I moved more than usual,Not aware of others' movement,0.09168997154889433,0.09168997154889433
35,ADQ036,Hall,Bach,0.046734213587009625,Intermittently,Yes and I moved a normal amount,Yes and they moved more than usual,0.1242978401780807,0.25070395118844313
36,ADQ037,Hall,Bach,0.10862609281437903,Intermittently,Yes and I moved a normal amount,,0.09045861985975971,0.12416162501452181
37,ADQ038,Hall,Bach,0.06744184305519986,Not at all,Not aware of movement,Not aware of others' movement,0.07511660701680728,0.07511660701680728
38,ADQ039,Hall,Bach,,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.10165658636987263,0.25070395118844313
39,ADQ040,Hall,Bach,0.05789252897639971,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.056473115551413905,0.06560233280020832
40,ADQ041,Hall,Bach,0.07175082721983589,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.05380215276242312,0.06539257796247347
41,ADQ042,Hall,Bach,0.07157474827753775,Not at all,Not aware of movement,Not aware of others' movement,0.07338435230705657,0.09942480631149365
