TIME,LABEL,Set,Movement,Moment,Since,Type,end,Sequence,Rest,Gap,Connect,Elide,Phr_end,Phr_begining,Rubato,Rit,Fermata,Precision,Cresc,Fp,Diminuendo,TextDec,Drone,TextInc,revisedT,old_TIME,old_Ratio,Ratio,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
1233.504,New Point,1,4,88,6.53,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1233.23,0.5652173913,0.4823529411764706,0.06280356950428549,0.0031601284551632885,-0.059643441049122205,0.32,0.0,-0.32,0.08909549306116958,0.07045945030362366,-0.01863604275754592,0.06483935824996898,0.06075236804424046,-0.004086990205728516
1240.44,New Point,1,4,89,6.99,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,1,1240.21,0.4956521739,0.5294117647058824,0.014341179997482875,0.003836031029706425,-0.01050514896777645,0.27599999999999997,0.0,-0.27599999999999997,0.08395651923885333,0.0692869272754487,-0.01466959196340463,0.06524272253061532,0.05691120981473665,-0.008331512715878668
1247.256,New Point,1,4,90,6.83,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,1,1247.05,0.4869565217,0.5294117647058824,0.014694839751509647,0.00556360173190539,-0.009131238019604257,0.076,0.0,-0.076,0.07596121445933347,0.06753021988879453,-0.008430994570538947,0.06167254418487241,0.05610917853252541,-0.0055633656523470035
1253.928,e-1,1,4,91,6.57,0,0.0,0.0,1,1,0,0,1.0,0.0,1,0,1,1,0,0,1,0,0,0,1,1253.62,0.4260869565,0.4588235294117647,0.00287298324891434,0.0029203775990499802,4.739435013564018e-05,0.0,0.0,0.0,0.06796920625041636,0.0679458184410798,-2.338780933655582e-05,0.055040945082490654,0.05657113955401719,0.0015301944715265386
1281.36,New Point,1,4,92,27.74,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1281.36,0.547826087,0.5882352941176471,0.10274337744152746,0.004911890647351173,-0.09783148679417629,0.24400000000000005,0.08,-0.16400000000000003,0.08904133449698357,0.07057199964369383,-0.018469334853289734,0.07049927175532662,0.06017914508016643,-0.01032012667516019
1288.992,New Point,1,4,93,7.23,0,0.0,0.0,0,0,1,0,0.0,1.0,0,0,0,2,0,0,1,1,0,0,1,1288.59,0.4,0.43529411764705883,0.05789552134195749,0.06466418673770524,0.006768665395747754,0.5120000000000001,0.22400000000000003,-0.2880000000000001,0.08920532530958879,0.0887718259952672,-0.0004334993143215865,0.06848016561689856,0.07038631159346241,0.0019061459765638555
1310.4,New Point,1,4,94,22.21,0,0.0,0.0,1,0,1,0,0.0,1.0,1,0,0,2,0,0,1,0,0,0,1,1310.8,0.4956521739,0.43529411764705883,0.10786911366442849,0.06135005321071973,-0.04651906045370876,0.6509090909090909,0.13454545454545455,-0.5163636363636364,0.1016137801644721,0.08310063163637137,-0.018513148528100737,0.07036605573950022,0.07078801198187741,0.00042195624237718887
1312.13,New Point,1,4,95,1.33,0,0.0,0.0,0,1,0,0,1.0,0.0,1,0,0,1,0,0,1,0,0,0,0,1312.13,0.5913043478,0.6470588235294118,0.18338768997770233,0.024562624131000917,-0.15882506584670142,0.392,0.5279999999999999,0.1359999999999999,0.09868692577215125,0.07065276697312975,-0.028034158799021505,0.07255252570021221,0.06029190965230902,-0.012260616047903197
1338.37,New Point,1,4,96,26.24,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1338.37,0.6086956522,0.6588235294117647,0.13507872487268235,0.004925674928824513,-0.13015304994385785,0.24000000000000005,0.092,-0.14800000000000005,0.08685011002144757,0.06949946117039218,-0.01735064885105539,0.06740647875402005,0.06025543663786122,-0.007151042116158829
1346.352,New Point,1,4,97,7.65,0,0.0,0.0,0,0,1,1,0.0,1.0,0,0,0,2,0,0,1,1,0,0,1,1346.03,0.5130434783,0.49411764705882355,0.05348939452426408,0.0772708954075804,0.023781500883316327,0.58,0.25600000000000006,-0.3239999999999999,0.09097360358333864,0.08551212273061999,-0.00546148085271865,0.06716643606724784,0.06552973025774354,-0.0016367058095042991
1369.92,New Point,1,4,98,23.55,0,0.0,0.0,0,0,1,0,1.0,1.0,1,0,0,2,0,0,1,1,0,0,1,1369.57,0.6173913043,0.611764705882353,0.11512246328934957,0.0384295514897855,-0.07669291179956406,0.22000000000000003,0.41200000000000003,0.192,0.08538887348163261,0.07138010342482055,-0.014008770056812059,0.06948096291321468,0.05707350622869084,-0.012407456684523838
1373.34,New Point,1,4,99,3.77,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1373.34,0.4782608696,0.43529411764705883,0.0972928264083732,0.08651404606164699,-0.010778780346726205,0.43200000000000005,0.384,-0.04800000000000004,0.0791921923493401,0.07851274184904164,-0.0006794505002984536,0.0607192267532715,0.06492613108076663,0.004206904327495126
1375.36,New Point,1,4,100,2.02,0,0.0,0.0,1,1,0,0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1375.36,0.4782608696,0.4588235294117647,0.16709457749077455,0.03953248924959995,-0.1275620882411746,0.312,0.044,-0.268,0.0857928170284539,0.0763654949475303,-0.009427322080923603,0.0652096197448672,0.06451010239614838,-0.0006995173487188283
1462.272,New Point,1,4,101,86.02,0,0.0,0.0,0,0,1,0,1.0,0.0,0,0,0,2,0,0,1,0,0,0,1,1461.38,0.5304347826,0.5058823529411764,0.14871226498093817,0.025031636794371353,-0.12368062818656682,0.24800000000000005,0.5519999999999999,0.3039999999999999,0.07389801841003758,0.07779027753094656,0.0038922591209089724,0.06064988643158546,0.06454765388647302,0.0038977674548875546
1467.31,New Point,1,4,102,5.94,0,0.0,0.0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1467.31,0.4,0.4235294117647059,0.15041151506417536,0.023724243480695413,-0.12668727158347995,0.43600000000000005,0.392,-0.04400000000000004,0.08604195518055167,0.08071077331294077,-0.005331181867610904,0.06284768823325446,0.06829804066570397,0.005450352432449512
1472.09,New Point,1,4,103,4.78,0,0.0,0.0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1472.09,0.4956521739,0.4823529411764706,0.14496417490574215,0.0276150965074732,-0.11734907839826894,0.4720000000000001,0.184,-0.2880000000000001,0.08111401463769599,0.0810617782520512,-5.223638564479105e-05,0.06552346238089214,0.07069555360383152,0.005172091222939379
1477.09,New Point,1,4,104,5.0,0,0.0,0.0,1,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1477.09,0.5130434783,0.5176470588235295,0.12635788257815672,0.005920902754304209,-0.12043697982385251,0.42400000000000004,0.11600000000000002,-0.30800000000000005,0.07507935907719383,0.0770732149277806,0.0019938558505867704,0.06486354102354953,0.061923897182926325,-0.0029396438406232087
1482.43,New Point,1,4,105,5.33,0,0.0,0.0,0,0,1,0,1.0,0.0,0,0,0,2,0,0,1,0,0,0,0,1482.43,0.4695652174,0.5411764705882353,0.056870547709223694,0.030797937256618613,-0.02607261045260508,0.4880000000000001,0.14400000000000004,-0.3440000000000001,0.07464921861403602,0.0770925780718649,0.002443359457828878,0.0647434348639089,0.06291762849641076,-0.0018258063674981423
1524.61,New Point,1,4,106,42.19,0,0.0,0.0,1,1,0,0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1524.61,0.6173913043,0.611764705882353,0.0885546972556681,0.002991135501121468,-0.08556356175454663,0.17600000000000002,0.10400000000000001,-0.07200000000000001,0.09923754437636002,0.09017537237095183,-0.009062172005408195,0.08106380024769248,0.06857084406375165,-0.012492956183940834
1539.47,New Point,1,4,107,14.85,0,0.0,0.0,0,0,1,1,1.0,1.0,1,0,0,2,0,1,0,1,0,0,0,1539.47,0.5043478261,0.611764705882353,0.049345426724659566,0.02437158673237453,-0.024973839992285037,0.27999999999999997,0.21600000000000003,-0.06399999999999995,0.10297833474933804,0.08981858334078144,-0.013159751408556603,0.07962626588615596,0.07125174234103511,-0.008374523545120846
1561.95,New Point,1,4,108,22.48,0,0.0,0.0,0,0,1,0,0.0,1.0,1,0,0,2,0,0,1,1,0,0,0,1561.95,0.5043478261,0.5176470588235295,0.10648440494736977,0.02457357901121582,-0.08191082593615395,0.4959999999999999,0.11200000000000002,-0.3839999999999999,0.08614167689643094,0.08577370532979915,-0.00036797156663179176,0.06844259620560962,0.06699691096454864,-0.0014456852410609788
