TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
2337.41,67.5,2,1,1.0,hold,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2337.41,0.059561257481925256,0.019062277251686917,-0.04049898023023834,0.36000000000000004,0.12000000000000002,-0.24000000000000002,0.07512286885751161,0.07708884263354605,0.001965973776034441,0.06115284655006316,0.06299541698682773,0.0018425704367645707
2355.91,72.0,2,1,1.0,breath,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2355.68,0.09810371499739642,0.004977703674137329,-0.0931260113232591,0.088,0.028000000000000004,-0.05999999999999999,0.07683924824509755,0.07002905380274056,-0.00681019444235699,0.0585375605745598,0.05671686471401881,-0.0018206958605409898
2363.23,73.0,2,1,1.0,pause,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2363.23,0.044386303493643496,0.0046008090270020785,-0.03978549446664142,0.21200000000000002,0.124,-0.08800000000000002,0.07830637081790762,0.0843259768461726,0.006019606028264984,0.06322297631187465,0.06350164849051756,0.0002786721786429136
2407.35,83.0,2,1,2.0,end,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2408.91,0.02354105100846284,0.0035623803458202366,-0.0199786706626426,0.06000000000000001,0.0,-0.06000000000000001,0.07092348378511207,0.06553047170930024,-0.005393012075811832,0.060481574411406336,0.05338033923121823,-0.007101235180188105
2425.97,8.5,2,2,1.0,lift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2426.29,0.08569501496358023,0.018128458739536682,-0.06756655622404355,0.42800000000000005,0.11200000000000002,-0.31600000000000006,0.11099354562764903,0.12467012245570044,0.013676576828051415,0.0842984223852454,0.07597679175696294,-0.008321630628282464
2433.2,16.0,2,2,1.0,Halt,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2433.55,0.04849474522680467,0.018634310251384883,-0.02986043497541979,0.592,0.10800000000000001,-0.484,0.10320732334498293,0.08688931870133008,-0.01631800464365285,0.07270093640437507,0.06222516980575296,-0.010475766598622108
2435.45,18.0,2,2,1.0,duck,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2435.81,0.11457301449234895,0.013680298997765444,-0.10089271549458351,0.06400000000000002,0.05600000000000001,-0.008000000000000007,0.09354897772511891,0.0744316353715341,-0.01911734235358481,0.06918937857528643,0.061565997756100624,-0.007623380819185802
2461.47,45.0,2,2,1.0,drop,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2461.47,0.174800089992064,0.08255937415491262,-0.09224071583715139,0.5599999999999999,0.44399999999999995,-0.11599999999999999,0.08747309059513445,0.07561793271500729,-0.011855157880127157,0.0630279391602014,0.060116162325077396,-0.0029117768351240025
2474.79,59.0,2,2,2.0,Halt,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2475.17,0.124648859926215,0.0050698063239859245,-0.11957905360222906,0.4,0.0,-0.4,0.08373369669934927,0.0782998568655693,-0.0054338398337799715,0.06804135163508349,0.058994008498108694,-0.009047343136974792
2490.59,73.99,2,2,2.0,Breath,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2490.59,0.08262660946041066,0.009033369348755722,-0.07359324011165494,0.18,0.08,-0.09999999999999999,0.09969769015598395,0.07011999833241742,-0.029577691823566538,0.06741409146397595,0.055808152414678666,-0.011605939049297284
